,name,start,end,party,sec
1,Wilson,3/4/1913,3/4/1921,Democratic,1
2,Harding,3/4/1921,8/2/1923,Republican,2
3,Coolidge,8/2/1923,3/4/1929,Republican,2
4,Hoover,3/4/1929,3/4/1933,Republican,2
5,Roosevelt,3/4/1933,4/12/1945,Democratic,3
6,Truman,4/12/1945,1/20/1953,Democratic,3
7,Eisenhower,1/20/1953,1/20/1961,Republican,4
8,Kennedy,1/20/1961,11/22/1963,Democratic,5
9,Johnson,11/22/1963,1/20/1969,Democratic,5
10,Nixon,1/20/1969,8/9/1974,Republican,6
11,Ford,8/9/1974,1/20/1977,Republican,6
12,Carter,1/20/1977,1/20/1981,Democratic,7
13,Reagan,1/20/1981,1/20/1989,Republican,8
14,Bush,1/20/1989,1/20/1993,Republican,8
15,Clinton,1/20/1993,1/20/2001,Democratic,9
16,Bush,1/20/2001,1/20/2009,Republican,10
17,Obama,1/20/2009,1/20/2017,Democratic,11
18,Trump,1/20/2017,1/20/2021,Republican,12
19,Biden,1/20/2021,12/31/2021,Democratic,13
